:START_ID,reward,reward_usd,:END_ID,:TYPE
678528,710221327,412915.5625,BTC.TOP,REWARDED
678529,691561598,402067,Poolin,REWARDED
678530,648447753,377001.0312,F2Pool,REWARDED
678531,648253481,376888.0938,ViaBTC,REWARDED
678532,705562981,410207.25,BTC.com,REWARDED
678533,651669257,378874,Unknown,REWARDED
678534,683339704,397286.875,AntPool,REWARDED
678535,659316404,383319.9688,EMCD,REWARDED
678536,661927259,384837.875,Binance,REWARDED
678537,651045049,378511.0938,F2Pool,REWARDED
678538,643003592,373835.8438,F2Pool,REWARDED
678539,648234943,376877.3125,BTC.TOP,REWARDED
678540,694978473,404053.5312,BTC.com,REWARDED
678541,695869824,404571.75,ViaBTC,REWARDED
678542,634308390,368780.5625,Poolin,REWARDED
678543,713125525,414604.0625,F2Pool,REWARDED
678544,713133198,414608.5,AntPool,REWARDED
678545,696734655,405074.5625,Unknown,REWARDED
678546,639728763,371931.9062,F2Pool,REWARDED
678547,658877158,383064.5938,F2Pool,REWARDED
678548,668491808,388654.4375,F2Pool,REWARDED
678549,705963255,410439.9688,Huobi,REWARDED
678550,672042692,390718.9062,Poolin,REWARDED
678551,635554352,369504.9375,EMCD,REWARDED
678552,699828923,406873.5312,F2Pool,REWARDED
678553,660453943,383981.3125,F2Pool,REWARDED
678554,722549803,420083.2188,Unknown,REWARDED
678555,720745152,419034.0312,Poolin,REWARDED
678556,670745434,389964.6875,Poolin,REWARDED
678557,635424199,369429.2812,AntPool,REWARDED
678558,638469868,371200,F2Pool,REWARDED
678559,685137623,398332.1562,F2Pool,REWARDED
678560,700932393,407515.0938,Poolin,REWARDED
678561,691730766,402165.3438,Unknown,REWARDED
678562,680213600,395469.375,F2Pool,REWARDED
678563,641295496,372842.7812,Huobi,REWARDED
678564,642113756,373318.5312,AntPool,REWARDED
678565,634515289,368900.8438,AntPool,REWARDED
678566,665159882,386717.3125,ViaBTC,REWARDED
678567,650825077,378383.1875,F2Pool,REWARDED
678568,634889627,369118.4688,AntPool,REWARDED
678569,731751178,425432.8125,Poolin,REWARDED
678570,715947404,416244.6562,Unknown,REWARDED
678571,721101415,419241.1562,BTC.com,REWARDED
678572,719779959,418472.875,ViaBTC,REWARDED
678573,706425216,410708.5625,BTC.com,REWARDED
678574,725639474,421879.5312,Poolin,REWARDED
678575,678098078,394239.4375,AntPool,REWARDED
678576,726254628,422237.1875,F2Pool,REWARDED
678577,657192829,382085.3438,Binance,REWARDED
678578,645505881,375290.6562,AntPool,REWARDED
678579,651475159,378761.1562,Unknown,REWARDED
678580,637789932,370804.6875,Huobi,REWARDED
678581,726932200,422631.125,AntPool,REWARDED
